'Elapsed time','ECG'
'0:12.404',8.600
'0:12.408',8.548
'0:12.412',8.336
'0:12.416',8.344
'0:12.420',8.568
'0:12.424',8.620
'0:12.428',8.380
'0:12.432',8.300
'0:12.436',8.528
'0:12.440',8.628
'0:12.444',8.432
'0:12.448',8.284
'0:12.452',8.472
'0:12.456',8.688
'0:12.460',8.460
'0:12.464',8.220
'0:12.468',8.284
'0:12.472',8.516
'0:12.476',8.480
'0:12.480',8.536
'0:12.484',9.180
'0:12.488',9.976
'0:12.492',10.436
'0:12.496',10.420
'0:12.500',9.924
'0:12.504',9.488
'0:12.508',9.224
'0:12.512',8.940
'0:12.516',8.808
'0:12.520',8.928
'0:12.524',8.836
'0:12.528',8.548
'0:12.532',8.456
'0:12.536',8.636
'0:12.540',8.740
'0:12.544',8.504
'0:12.548',8.344
'0:12.552',8.560
'0:12.556',8.712
'0:12.560',8.516
'0:12.564',8.344
'0:12.568',8.512
'0:12.572',8.700
'0:12.576',8.544
'0:12.580',8.356
'0:12.584',8.480
'0:12.588',8.700
'0:12.592',8.560
'0:12.596',8.348
'0:12.600',8.404
'0:12.604',8.664
'0:12.608',8.604
'0:12.612',8.380
'0:12.616',8.376
'0:12.620',8.620
'0:12.624',8.648
'0:12.628',8.424
'0:12.632',8.356
'0:12.636',8.580
'0:12.640',8.700
'0:12.644',8.468
'0:12.648',8.352
'0:12.652',8.556
'0:12.656',8.712
'0:12.660',8.536
'0:12.664',8.364
'0:12.668',8.560
'0:12.672',8.724
'0:12.676',8.552
'0:12.680',8.364
'0:12.684',8.496
'0:12.688',8.732
'0:12.692',8.616
'0:12.696',8.388
'0:12.700',8.484
'0:12.704',8.720
'0:12.708',8.692
'0:12.712',8.448
'0:12.716',8.440
'0:12.720',8.700
'0:12.724',8.732
'0:12.728',8.552
'0:12.732',8.500
'0:12.736',8.716
'0:12.740',8.812
'0:12.744',8.636
'0:12.748',8.520
'0:12.752',8.744
'0:12.756',8.944
'0:12.760',8.756
'0:12.764',8.592
'0:12.768',8.804
'0:12.772',9.012
'0:12.776',8.840
'0:12.780',8.680
'0:12.784',8.820
'0:12.788',9.016
'0:12.792',8.940
'0:12.796',8.728
'0:12.800',8.808
'0:12.804',9.036
'0:12.808',8.992
'0:12.812',8.716
'0:12.816',8.700
'0:12.820',8.920
'0:12.824',8.924
'0:12.828',8.648
'0:12.832',8.552
'0:12.836',8.756
'0:12.840',8.852
'0:12.844',8.604
'0:12.848',8.456
'0:12.852',8.620
'0:12.856',8.752
'0:12.860',8.540
'0:12.864',8.364
'0:12.868',8.544
'0:12.872',8.736
'0:12.876',8.584
'0:12.880',8.384
'0:12.884',8.492
'0:12.888',8.688
'0:12.892',8.584
'0:12.896',8.360
'0:12.900',8.436
'0:12.904',8.656
'0:12.908',8.644
'0:12.912',8.432
'0:12.916',8.404
'0:12.920',8.656
'0:12.924',8.672
'0:12.928',8.460
'0:12.932',8.372
'0:12.936',8.596
'0:12.940',8.720
'0:12.944',8.480
'0:12.948',8.344
'0:12.952',8.580
'0:12.956',8.732
'0:12.960',8.528
'0:12.964',8.352
'0:12.968',8.532
'0:12.972',8.684
'0:12.976',8.580
'0:12.980',8.388
'0:12.984',8.516
'0:12.988',8.728
'0:12.992',8.624
'0:12.996',8.408
'0:13.000',8.452
'0:13.004',8.676
'0:13.008',8.680
'0:13.012',8.472
'0:13.016',8.456
'0:13.020',8.668
'0:13.024',8.716
'0:13.028',8.512
'0:13.032',8.408
'0:13.036',8.640
'0:13.040',8.720
'0:13.044',8.528
'0:13.048',8.408
'0:13.052',8.600
'0:13.056',8.740
'0:13.060',8.588
'0:13.064',8.388
'0:13.068',8.584
'0:13.072',8.780
'0:13.076',8.588
'0:13.080',8.408
'0:13.084',8.528
'0:13.088',8.720
'0:13.092',8.632
'0:13.096',8.424
'0:13.100',8.496
'0:13.104',8.688
'0:13.108',8.664
'0:13.112',8.448
'0:13.116',8.448
'0:13.120',8.660
'0:13.124',8.696
'0:13.128',8.500
'0:13.132',8.416
'0:13.136',8.612
'0:13.140',8.700
'0:13.144',8.500
'0:13.148',8.384
'0:13.152',8.564
'0:13.156',8.736
'0:13.160',8.536
'0:13.164',8.364
'0:13.168',8.556
'0:13.172',8.732
'0:13.176',8.592
'0:13.180',8.404
'0:13.184',8.524
'0:13.188',8.728
'0:13.192',8.652
'0:13.196',8.408
'0:13.200',8.464
'0:13.204',8.692
'0:13.208',8.652
'0:13.212',8.444
'0:13.216',8.436
'0:13.220',8.672
'0:13.224',8.704
'0:13.228',8.488
'0:13.232',8.416
'0:13.236',8.636
'0:13.240',8.716
'0:13.244',8.504
'0:13.248',8.388
'0:13.252',8.580
'0:13.256',8.716
'0:13.260',8.548
'0:13.264',8.396
'0:13.268',8.572
'0:13.272',8.760
'0:13.276',8.628
'0:13.280',8.468
'0:13.284',8.608
'0:13.288',8.812
'0:13.292',8.744
'0:13.296',8.500
'0:13.300',8.568
'0:13.304',8.796
'0:13.308',8.760
'0:13.312',8.560
'0:13.316',8.556
'0:13.320',8.736
'0:13.324',8.796
'0:13.328',8.588
'0:13.332',8.472
'0:13.336',8.684
'0:13.340',8.800
'0:13.344',8.588
'0:13.348',8.464
'0:13.352',8.656
'0:13.356',8.780
'0:13.360',8.572
'0:13.364',8.368
'0:13.368',8.516
'0:13.372',8.684
'0:13.376',8.524
'0:13.380',8.328
'0:13.384',8.456
'0:13.388',8.640
'0:13.392',8.548
'0:13.396',8.356
'0:13.400',8.384
'0:13.404',8.608
'0:13.408',8.600
'0:13.412',8.364
'0:13.416',8.336
'0:13.420',8.556
'0:13.424',8.620
'0:13.428',8.420
'0:13.432',8.352
'0:13.436',8.556
'0:13.440',8.652
'0:13.444',8.400
'0:13.448',8.200
'0:13.452',8.340
'0:13.456',8.544
'0:13.460',8.516
'0:13.464',8.628
'0:13.468',9.316
'0:13.472',10.004
'0:13.476',10.356
'0:13.480',10.164
'0:13.484',9.656
'0:13.488',9.328
'0:13.492',9.076
'0:13.496',8.780
'0:13.500',8.756
'0:13.504',8.872
'0:13.508',8.720
'0:13.512',8.464
'0:13.516',8.428
'0:13.520',8.656
'0:13.524',8.720
'0:13.528',8.472
'0:13.532',8.372
'0:13.536',8.584
'0:13.540',8.696
'0:13.544',8.448
'0:13.548',8.328
'0:13.552',8.472
'0:13.556',8.664
'0:13.560',8.468
'0:13.564',8.332
'0:13.568',8.500
'0:13.572',8.644
'0:13.576',8.520
'0:13.580',8.324
'0:13.584',8.432
'0:13.588',8.636
'0:13.592',8.588
'0:13.596',8.392
'0:13.600',8.384
'0:13.604',8.608
'0:13.608',8.608
'0:13.612',8.408
'0:13.616',8.380
'0:13.620',8.572
'0:13.624',8.628
'0:13.628',8.428
'0:13.632',8.336
'0:13.636',8.576
'0:13.640',8.676
'0:13.644',8.452
'0:13.648',8.320
'0:13.652',8.536
'0:13.656',8.684
'0:13.660',8.528
'0:13.664',8.352
'0:13.668',8.504
'0:13.672',8.680
'0:13.676',8.528
'0:13.680',8.348
'0:13.684',8.464
'0:13.688',8.684
'0:13.692',8.592
'0:13.696',8.392
'0:13.700',8.472
'0:13.704',8.700
'0:13.708',8.692
'0:13.712',8.476
'0:13.716',8.476
'0:13.720',8.716
'0:13.724',8.768
'0:13.728',8.560
'0:13.732',8.496
'0:13.736',8.760
'0:13.740',8.860
'0:13.744',8.684
'0:13.748',8.572
'0:13.752',8.772
'0:13.756',8.964
'0:13.760',8.784
'0:13.764',8.624
'0:13.768',8.804
'0:13.772',9.004
'0:13.776',8.876
'0:13.780',8.688
'0:13.784',8.792
'0:13.788',8.980
'0:13.792',8.876
'0:13.796',8.672
'0:13.800',8.696
'0:13.804',8.840
'0:13.808',8.804
'0:13.812',8.596
'0:13.816',8.536
'0:13.820',8.716
'0:13.824',8.764
'0:13.828',8.512
'0:13.832',8.392
'0:13.836',8.592
'0:13.840',8.708
'0:13.844',8.488
'0:13.848',8.332
'0:13.852',8.512
'0:13.856',8.676
'0:13.860',8.476
'0:13.864',8.272
'0:13.868',8.448
'0:13.872',8.620
'0:13.876',8.504
'0:13.880',8.312
'0:13.884',8.412
'0:13.888',8.628
'0:13.892',8.532
'0:13.896',8.312
'0:13.900',8.352
'0:13.904',8.588
'0:13.908',8.588
'0:13.912',8.364
'0:13.916',8.352
'0:13.920',8.552
'0:13.924',8.604
'0:13.928',8.380
'0:13.932',8.280
'0:13.936',8.532
'0:13.940',8.624
'0:13.944',8.424
'0:13.948',8.624
'0:13.952',8.168
'0:13.956',7.764
'0:13.960',8.724
'0:13.964',8.880
'0:13.968',7.948
'0:13.972',7.780
'0:13.976',8.736
'0:13.980',8.984
'0:13.984',8.196
'0:13.988',7.936
'0:13.992',8.600
'0:13.996',8.820
'0:14.000',8.360
'0:14.004',8.220
'0:14.008',8.520
'0:14.012',8.588
'0:14.016',8.420
'0:14.020',8.352
'0:14.024',8.452
'0:14.028',8.488
'0:14.032',8.416
'0:14.036',8.432
'0:14.040',8.488
'0:14.044',8.488
'0:14.048',8.404
'0:14.052',8.400
'0:14.056',8.548
'0:14.060',8.472
'0:14.064',8.312
'0:14.068',8.372
'0:14.072',8.532
'0:14.076',8.480
'0:14.080',8.336
'0:14.084',8.380
'0:14.088',8.544
'0:14.092',8.484
'0:14.096',8.316
'0:14.100',8.372
'0:14.104',8.568
'0:14.108',8.524
'0:14.112',8.340
'0:14.116',8.368
'0:14.120',8.548
'0:14.124',8.532
'0:14.128',8.340
'0:14.132',8.324
'0:14.136',8.472
'0:14.140',8.532
'0:14.144',8.392
'0:14.148',8.320
'0:14.152',8.480
'0:14.156',8.580
'0:14.160',8.424
'0:14.164',8.308
'0:14.168',8.428
'0:14.172',8.560
'0:14.176',8.452
'0:14.180',8.264
'0:14.184',8.392
'0:14.188',8.592
'0:14.192',8.488
'0:14.196',8.272
'0:14.200',8.332
'0:14.204',8.580
'0:14.208',8.504
'0:14.212',8.292
'0:14.216',8.340
'0:14.220',8.564
'0:14.224',8.516
'0:14.228',8.288
'0:14.232',8.308
'0:14.236',8.508
'0:14.240',8.548
'0:14.244',8.348
'0:14.248',8.284
'0:14.252',8.468
'0:14.256',8.556
'0:14.260',8.400
'0:14.264',8.268
'0:14.268',8.420
'0:14.272',8.600
'0:14.276',8.484
'0:14.280',8.332
'0:14.284',8.472
'0:14.288',8.700
'0:14.292',8.596
'0:14.296',8.364
'0:14.300',8.456
'0:14.304',8.696
'0:14.308',8.620
'0:14.312',8.400
'0:14.316',8.484
'0:14.320',8.676
'0:14.324',8.672
'0:14.328',8.436
'0:14.332',8.432
'0:14.336',8.608
'0:14.340',8.652
'0:14.344',8.432
'0:14.348',8.360
'0:14.352',8.560
'0:14.356',8.656
'0:14.360',8.452
'0:14.364',8.284
'0:14.368',8.412
'0:14.372',8.548
'0:14.376',8.420
'0:14.380',8.184
'0:14.384',8.364
'0:14.388',8.532
'0:14.392',8.412
'0:14.396',8.180
'0:14.400',8.320
'0:14.404',8.560
'0:14.408',8.476
'0:14.412',8.252
'0:14.416',8.272
'0:14.420',8.516
'0:14.424',8.504
'0:14.428',8.268
'0:14.432',8.268
'0:14.436',8.508
'0:14.440',8.500
'0:14.444',8.288
'0:14.448',8.148
'0:14.452',8.276
'0:14.456',8.432
'0:14.460',8.368
'0:14.464',8.440
'0:14.468',9.048
'0:14.472',9.760
'0:14.476',10.108
'0:14.480',10.088
'0:14.484',9.692
'0:14.488',9.296
'0:14.492',8.976
'0:14.496',8.652
'0:14.500',8.712
'0:14.504',8.840
'0:14.508',8.636
'0:14.512',8.352
'0:14.516',8.368
'0:14.520',8.620
'0:14.524',8.588
'0:14.528',8.332
'0:14.532',8.328
'0:14.536',8.532
'0:14.540',8.576
'0:14.544',8.336
'0:14.548',8.240
'0:14.552',8.512
'0:14.556',8.600
'0:14.560',8.388
'0:14.564',8.232
'0:14.568',8.440
'0:14.572',8.580
'0:14.576',8.424
'0:14.580',8.244
'0:14.584',8.376
'0:14.588',8.588
'0:14.592',8.468
'0:14.596',8.252
'0:14.600',8.360
'0:14.604',8.588
'0:14.608',8.512
'0:14.612',8.276
'0:14.616',8.332
'0:14.620',8.576
'0:14.624',8.548
'0:14.628',8.320
'0:14.632',8.308
'0:14.636',8.528
'0:14.640',8.600
'0:14.644',8.360
'0:14.648',8.264
'0:14.652',8.516
'0:14.656',8.608
'0:14.660',8.420
'0:14.664',8.272
'0:14.668',8.500
'0:14.672',8.676
'0:14.676',8.480
'0:14.680',8.248
'0:14.684',8.444
'0:14.688',8.660
'0:14.692',8.552
'0:14.696',8.316
'0:14.700',8.440
'0:14.704',8.688
'0:14.708',8.620
'0:14.712',8.376
'0:14.716',8.440
'0:14.720',8.708
'0:14.724',8.712
'0:14.728',8.484
'0:14.732',8.496
'0:14.736',8.744
'0:14.740',8.792
'0:14.744',8.580
'0:14.748',8.512
'0:14.752',8.760
'0:14.756',8.876
'0:14.760',8.696
'0:14.764',8.552
'0:14.768',8.764
'0:14.772',8.960
'0:14.776',8.816
'0:14.780',8.612
'0:14.784',8.744
'0:14.788',8.964
'0:14.792',8.812
'0:14.796',8.576
'0:14.800',8.648
'0:14.804',8.872
'0:14.808',8.772
'0:14.812',8.488
'0:14.816',8.504
'0:14.820',8.712
'0:14.824',8.652
'0:14.828',8.416
'0:14.832',8.388
'0:14.836',8.604
'0:14.840',8.660
'0:14.844',8.392
'0:14.848',8.292
'0:14.852',8.516
'0:14.856',8.632
'0:14.860',8.424
'0:14.864',8.272
'0:14.868',8.448
'0:14.872',8.624
'0:14.876',8.444
'0:14.880',8.252
'0:14.884',8.396
'0:14.888',8.624
'0:14.892',8.480
'0:14.896',8.256
'0:14.900',8.364
'0:14.904',8.588
'0:14.908',8.524
'0:14.912',8.276
'0:14.916',8.320
'0:14.920',8.572
'0:14.924',8.584
'0:14.928',8.312
'0:14.932',8.284
'0:14.936',8.508
'0:14.940',8.568
'0:14.944',8.348
'0:14.948',8.288
'0:14.952',8.500
'0:14.956',8.596
'0:14.960',8.420
'0:14.964',8.240
'0:14.968',8.424
'0:14.972',8.628
'0:14.976',8.456
'0:14.980',8.268
'0:14.984',8.452
'0:14.988',8.660
'0:14.992',8.492
'0:14.996',8.264
'0:15.000',8.384
'0:15.004',8.628
'0:15.008',8.540
'0:15.012',8.296
'0:15.016',8.356
'0:15.020',8.612
'0:15.024',8.580
'0:15.028',8.336
'0:15.032',8.340
'0:15.036',8.560
'0:15.040',8.628
'0:15.044',8.416
'0:15.048',8.304
'0:15.052',8.520
'0:15.056',8.628
'0:15.060',8.428
'0:15.064',8.248
'0:15.068',8.460
'0:15.072',8.652
'0:15.076',8.472
'0:15.080',8.280
'0:15.084',8.412
'0:15.088',8.640
'0:15.092',8.488
'0:15.096',8.264
'0:15.100',8.384
'0:15.104',8.648
'0:15.108',8.564
'0:15.112',8.308
'0:15.116',8.340
'0:15.120',8.584
'0:15.124',8.568
'0:15.128',8.340
'0:15.132',8.320
'0:15.136',8.548
'0:15.140',8.588
'0:15.144',8.352
'0:15.148',8.284
'0:15.152',8.520
'0:15.156',8.628
'0:15.160',8.408
'0:15.164',8.280
'0:15.168',8.444
'0:15.172',8.576
'0:15.176',8.440
'0:15.180',8.272
'0:15.184',8.404
'0:15.188',8.636
'0:15.192',8.500
'0:15.196',8.280
'0:15.200',8.356
'0:15.204',8.580
'0:15.208',8.520
'0:15.212',8.280
'0:15.216',8.328
'0:15.220',8.596
'0:15.224',8.572
'0:15.228',8.308
'0:15.232',8.264
'0:15.236',8.504
'0:15.240',8.580
'0:15.244',8.280
'0:15.248',8.224
'0:15.252',8.484
'0:15.256',8.620
'0:15.260',8.392
'0:15.264',8.248
'0:15.268',8.432
'0:15.272',8.600
'0:15.276',8.420
'0:15.280',8.184
'0:15.284',8.352
'0:15.288',8.644
'0:15.292',8.540
'0:15.296',8.284
'0:15.300',8.396
'0:15.304',8.684
'0:15.308',8.608
'0:15.312',8.344
'0:15.316',8.392
'0:15.320',8.680
'0:15.324',8.652
'0:15.328',8.436
'0:15.332',8.444
'0:15.336',8.664
'0:15.340',8.664
'0:15.344',8.472
'0:15.348',8.340
'0:15.352',8.556
'0:15.356',8.716
'0:15.360',8.540
'0:15.364',8.376
'0:15.368',8.512
'0:15.372',8.620
'0:15.376',8.496
'0:15.380',8.284
'0:15.384',8.344
'0:15.388',8.560
'0:15.392',8.432
'0:15.396',8.180
'0:15.400',8.316
'0:15.404',8.508
'0:15.408',8.420
'0:15.412',8.192
'0:15.416',8.260
'0:15.420',8.480
'0:15.424',8.532
'0:15.428',8.260
'0:15.432',8.224
'0:15.436',8.420
'0:15.440',8.464
'0:15.444',8.260
'0:15.448',8.196
'0:15.452',8.380
'0:15.456',8.500
'0:15.460',8.336
'0:15.464',8.092
'0:15.468',8.204
'0:15.472',8.444
'0:15.476',8.332
'0:15.480',8.268
'0:15.484',8.788
'0:15.488',9.544
'0:15.492',10.008
'0:15.496',10.132
'0:15.500',9.848
'0:15.504',9.420
'0:15.508',9.068
'0:15.512',8.744
'0:15.516',8.696
'0:15.520',8.844
'0:15.524',8.696
'0:15.528',8.368
'0:15.532',8.292
'0:15.536',8.536
'0:15.540',8.520
'0:15.544',8.344
'0:15.548',8.296
'0:15.552',8.440
'0:15.556',8.540
'0:15.560',8.344
'0:15.564',8.192
'0:15.568',8.392
'0:15.572',8.544
'0:15.576',8.340
'0:15.580',8.136
'0:15.584',8.332
'0:15.588',8.544
'0:15.592',8.416
'0:15.596',8.164
'0:15.600',8.260
'0:15.604',8.500
'0:15.608',8.416
'0:15.612',8.128
'0:15.616',8.268
'0:15.620',8.516
'0:15.624',8.488
'0:15.628',8.260
'0:15.632',8.260
'0:15.636',8.436
'0:15.640',8.484
'0:15.644',8.296
'0:15.648',8.192
'0:15.652',8.404
'0:15.656',8.476
'0:15.660',8.348
'0:15.664',8.204
'0:15.668',8.392
'0:15.672',8.572
'0:15.676',8.412
'0:15.680',8.212
'0:15.684',8.356
'0:15.688',8.540
'0:15.692',8.448
'0:15.696',8.156
'0:15.700',8.332
'0:15.704',8.628
'0:15.708',8.536
'0:15.712',8.248
'0:15.716',8.344
'0:15.720',8.600
'0:15.724',8.576
'0:15.728',8.380
'0:15.732',8.328
'0:15.736',8.616
'0:15.740',8.724
'0:15.744',8.504
'0:15.748',8.376
'0:15.752',8.604
'0:15.756',8.732
'0:15.760',8.564
'0:15.764',8.468
'0:15.768',8.704
'0:15.772',8.884
'0:15.776',8.672
'0:15.780',8.516
'0:15.784',8.688
'0:15.788',8.940
'0:15.792',8.816
'0:15.796',8.596
'0:15.800',8.728
'0:15.804',8.936
'0:15.808',8.852
'0:15.812',8.608
'0:15.816',8.616
'0:15.820',8.848
'0:15.824',8.804
'0:15.828',8.528
'0:15.832',8.468
'0:15.836',8.668
'0:15.840',8.740
'0:15.844',8.460
'0:15.848',8.336
'0:15.852',8.532
'0:15.856',8.628
'0:15.860',8.428
'0:15.864',8.268
'0:15.868',8.476
'0:15.872',8.624
'0:15.876',8.440
'0:15.880',8.264
'0:15.884',8.384
'0:15.888',8.556
'0:15.892',8.492
'0:15.896',8.248
'0:15.900',8.320
'0:15.904',8.604
'0:15.908',8.488
'0:15.912',8.304
'0:15.916',8.316
'0:15.920',8.528
'0:15.924',8.584
'0:15.928',8.268
'0:15.932',8.264
'0:15.936',8.528
'0:15.940',8.576
'0:15.944',8.348
'0:15.948',8.240
'0:15.952',8.436
'0:15.956',8.632
'0:15.960',8.464
'0:15.964',8.276
'0:15.968',8.464
'0:15.972',8.592
'0:15.976',8.436
'0:15.980',8.224
'0:15.984',8.444
'0:15.988',8.668
'0:15.992',8.492
'0:15.996',8.268
'0:16.000',8.392
'0:16.004',8.632
'0:16.008',8.552
'0:16.012',8.308
'0:16.016',8.384
'0:16.020',8.624
'0:16.024',8.608
'0:16.028',8.352
'0:16.032',8.308
'0:16.036',8.548
'0:16.040',8.616
'0:16.044',8.412
'0:16.048',8.324
'0:16.052',8.524
'0:16.056',8.640
'0:16.060',8.428
'0:16.064',8.268
'0:16.068',8.436
'0:16.072',8.636
'0:16.076',8.540
'0:16.080',8.300
'0:16.084',8.412
'0:16.088',8.644
'0:16.092',8.520
'0:16.096',8.284
'0:16.100',8.364
'0:16.104',8.624
'0:16.108',8.560
'0:16.112',8.328
'0:16.116',8.364
'0:16.120',8.608
'0:16.124',8.620
'0:16.128',8.304
'0:16.132',8.264
'0:16.136',8.588
'0:16.140',8.640
'0:16.144',8.368
'0:16.148',8.296
'0:16.152',8.520
'0:16.156',8.652
'0:16.160',8.416
'0:16.164',8.268
'0:16.168',8.496
'0:16.172',8.640
'0:16.176',8.448
'0:16.180',8.288
'0:16.184',8.464
'0:16.188',8.660
'0:16.192',8.528
'0:16.196',8.304
'0:16.200',8.404
'0:16.204',8.636
'0:16.208',8.580
'0:16.212',8.292
'0:16.216',8.328
'0:16.220',8.632
'0:16.224',8.588
'0:16.228',8.372
'0:16.232',8.344
'0:16.236',8.588
'0:16.240',8.656
'0:16.244',8.392
'0:16.248',8.288
'0:16.252',8.516
'0:16.256',8.676
'0:16.260',8.472
'0:16.264',8.292
'0:16.268',8.504
'0:16.272',8.700
'0:16.276',8.552
'0:16.280',8.368
'0:16.284',8.544
'0:16.288',8.756
'0:16.292',8.660
'0:16.296',8.404
'0:16.300',8.492
'0:16.304',8.776
'0:16.308',8.708
'0:16.312',8.492
'0:16.316',8.500
'0:16.320',8.752
'0:16.324',8.756
'0:16.328',8.520
'0:16.332',8.456
'0:16.336',8.692
'0:16.340',8.772
'0:16.344',8.564
'0:16.348',8.448
'0:16.352',8.628
'0:16.356',8.772
'0:16.360',8.540
'0:16.364',8.340
'0:16.368',8.452
'0:16.372',8.628
'0:16.376',8.476
'0:16.380',8.268
'0:16.384',8.408
'0:16.388',8.640
'0:16.392',8.548
'0:16.396',8.292
'0:16.400',8.364
'0:16.404',8.612
'0:16.408',8.544
'0:16.412',8.292
'0:16.416',8.292
'0:16.420',8.536
'0:16.424',8.572
'0:16.428',8.332
'0:16.432',8.280
'0:16.436',8.552
'0:16.440',8.608
'0:16.444',8.260
'0:16.448',8.060
'0:16.452',8.340
'0:16.456',8.612
'0:16.460',8.676
'0:16.464',9.076
'0:16.468',9.848
'0:16.472',10.608
'0:16.476',10.684
'0:16.480',9.852
'0:16.484',9.272
'0:16.488',9.312
'0:16.492',9.184
'0:16.496',8.804
'0:16.500',8.720
'0:16.504',8.852
'0:16.508',8.740
'0:16.512',8.448
'0:16.516',8.436
'0:16.520',8.660
'0:16.524',8.652
'0:16.528',8.424
'0:16.532',8.356
'0:16.536',8.600
'0:16.540',8.676
'0:16.544',8.448
'0:16.548',8.328
'0:16.552',8.540
'0:16.556',8.684
'0:16.560',8.464
'0:16.564',8.288
'0:16.568',8.492
'0:16.572',8.688
'0:16.576',8.500
'0:16.580',8.324
'0:16.584',8.444
'0:16.588',8.688
'0:16.592',8.544
'0:16.596',8.304
'0:16.600',8.420
'0:16.604',8.664
'0:16.608',8.604
'0:16.612',8.368
'0:16.616',8.396
'0:16.620',8.612
'0:16.624',8.652
'0:16.628',8.384
'0:16.632',8.364
'0:16.636',8.624
'0:16.640',8.672
'0:16.644',8.448
'0:16.648',8.384
'0:16.652',8.588
'0:16.656',8.720
'0:16.660',8.496
'0:16.664',8.356
'0:16.668',8.556
'0:16.672',8.756
'0:16.676',8.608
'0:16.680',8.384
'0:16.684',8.540
'0:16.688',8.764
'0:16.692',8.624
'0:16.696',8.380
'0:16.700',8.536
'0:16.704',8.776
'0:16.708',8.736
'0:16.712',8.504
'0:16.716',8.532
'0:16.720',8.780
'0:16.724',8.832
'0:16.728',8.608
'0:16.732',8.572
'0:16.736',8.856
'0:16.740',8.948
'0:16.744',8.720
'0:16.748',8.632
'0:16.752',8.896
'0:16.756',9.020
'0:16.760',8.844
'0:16.764',8.704
'0:16.768',8.904
'0:16.772',9.088
'0:16.776',8.912
'0:16.780',8.720
'0:16.784',8.872
'0:16.788',9.068
'0:16.792',8.956
'0:16.796',8.684
'0:16.800',8.732
'0:16.804',8.956
'0:16.808',8.844
'0:16.812',8.636
'0:16.816',8.548
'0:16.820',8.788
'0:16.824',8.764
'0:16.828',8.500
'0:16.832',8.368
'0:16.836',8.652
'0:16.840',8.728
'0:16.844',8.504
'0:16.848',8.412
'0:16.852',8.604
'0:16.856',8.720
'0:16.860',8.508
'0:16.864',8.256
'0:16.868',8.544
'0:16.872',8.740
'0:16.876',8.540
'0:16.880',8.336
'0:16.884',8.492
'0:16.888',8.708
'0:16.892',8.568
'0:16.896',8.336
'0:16.900',8.424
'0:16.904',8.680
'0:16.908',8.628
'0:16.912',8.404
'0:16.916',8.424
'0:16.920',8.676
'0:16.924',8.676
'0:16.928',8.416
'0:16.932',8.384
'0:16.936',8.620
'0:16.940',8.684
'0:16.944',8.480
'0:16.948',8.388
'0:16.952',8.592
'0:16.956',8.720
'0:16.960',8.516
'0:16.964',8.364
'0:16.968',8.520
'0:16.972',8.712
'0:16.976',8.564
'0:16.980',8.356
'0:16.984',8.508
'0:16.988',8.732
'0:16.992',8.636
'0:16.996',8.372
'0:17.000',8.456
'0:17.004',8.736
'0:17.008',8.652
'0:17.012',8.392
'0:17.016',8.440
'0:17.020',8.680
'0:17.024',8.656
'0:17.028',8.440
'0:17.032',8.412
'0:17.036',8.640
'0:17.040',8.692
'0:17.044',8.508
'0:17.048',8.408
'0:17.052',8.624
'0:17.056',8.736
'0:17.060',8.508
'0:17.064',8.352
'0:17.068',8.536
'0:17.072',8.712
'0:17.076',8.568
'0:17.080',8.356
'0:17.084',8.452
'0:17.088',8.712
'0:17.092',8.592
'0:17.096',8.356
'0:17.100',8.460
'0:17.104',8.712
'0:17.108',8.644
'0:17.112',8.388
'0:17.116',8.412
'0:17.120',8.656
'0:17.124',8.612
'0:17.128',8.420
'0:17.132',8.376
'0:17.136',8.612
'0:17.140',8.692
'0:17.144',8.472
'0:17.148',8.340
'0:17.152',8.580
'0:17.156',8.716
'0:17.160',8.520
'0:17.164',8.360
'0:17.168',8.540
'0:17.172',8.688
'0:17.176',8.564
'0:17.180',8.356
'0:17.184',8.496
'0:17.188',8.704
'0:17.192',8.612
'0:17.196',8.364
'0:17.200',8.468
'0:17.204',8.684
'0:17.208',8.624
'0:17.212',8.368
'0:17.216',8.428
'0:17.220',8.644
'0:17.224',8.696
'0:17.228',8.420
'0:17.232',8.372
'0:17.236',8.620
'0:17.240',8.700
'0:17.244',8.496
'0:17.248',8.432
'0:17.252',8.696
'0:17.256',8.836
'0:17.260',8.628
'0:17.264',8.456
'0:17.268',8.632
'0:17.272',8.828
'0:17.276',8.676
'0:17.280',8.460
'0:17.284',8.616
'0:17.288',8.844
'0:17.292',8.740
'0:17.296',8.504
'0:17.300',8.548
'0:17.304',8.784
'0:17.308',8.720
'0:17.312',8.532
'0:17.316',8.544
'0:17.320',8.760
'0:17.324',8.740
'0:17.328',8.488
'0:17.332',8.452
'0:17.336',8.600
'0:17.340',8.672
'0:17.344',8.456
'0:17.348',8.324
'0:17.352',8.544
'0:17.356',8.688
'0:17.360',8.504
'0:17.364',8.324
'0:17.368',8.496
'0:17.372',8.672
'0:17.376',8.552
'0:17.380',8.312
'0:17.384',8.452
'0:17.388',8.672
'0:17.392',8.580
'0:17.396',8.316
'0:17.400',8.416
'0:17.404',8.664
'0:17.408',8.600
'0:17.412',8.352
'0:17.416',8.296
'0:17.420',8.468
'0:17.424',8.512
'0:17.428',8.404
'0:17.432',8.604
'0:17.436',9.276
'0:17.440',9.912
'0:17.444',10.240
'0:17.448',10.324
'0:17.452',10.084
'0:17.456',9.568
'0:17.460',9.084
'0:17.464',8.820
'0:17.468',8.920
'0:17.472',9.016
'0:17.476',8.740
'0:17.480',8.436
'0:17.484',8.564
